question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,r1,r2,s,ground_truth
7aad025e-4082-4956-9e52-69af07bc6fa8,6.2898335,0.10125055,0.49872786,0.33756694,0.0,0.0,0.0,0.0,6.032223,0.04265505,0.48278227,0.26863533,0.5321597,0.045595348,0.0,0.045595348,6.200467,0.12805678,0.69981736,0.49944806,0.0,0.0,0.0,0.0,0.53846157,0,0.6931471805599453,19.054684,2
7aad025e-4082-4956-9e52-69af07bc6fa8,5.144341,1.1006434,0.0,1.1006434,0.0,0.0,0.0,0.0,4.751846,0.6440404,0.0,0.6440404,1.0966403,0.35530725,0.0,0.35530725,4.5203,0.8929566,0.0,0.8929566,0.0,0.0,0.0,0.0,0.3846154,1,0.4054651081081644,15.513127,3
7aad025e-4082-4956-9e52-69af07bc6fa8,4.511191,1.274993,0.34453255,1.3058822,0.0,0.0,0.0,0.0,4.4599423,1.2110816,0.38315484,1.2461601,0.18057178,0.08765064,0.0,0.08765064,3.8892188,1.0533726,0.28938413,1.0802972,0.0,0.0,0.0,0.0,0.3846154,2,0.2876820724517809,13.040924,2
7aad025e-4082-4956-9e52-69af07bc6fa8,4.459329,0.0,1.8648165,0.0,0.0,0.0,0.0,0.0,4.3638587,0.0,1.7587926,0.0,0.0,0.0,0.0,0.0,3.8541248,0.0,1.4726774,0.0,0.0,0.0,0.0,0.0,0.53846157,3,0.22314355131420976,12.677313,0
7aad025e-4082-4956-9e52-69af07bc6fa8,5.5636783,1.6789196,0.72956675,1.8399197,0.0,0.0,0.0,0.0,5.2138395,1.3264173,0.75946486,1.4408749,0.9142046,0.5096595,0.0,0.5096595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53846157,4,0.18232155679395462,11.691723,0
7aad025e-4082-4956-9e52-69af07bc6fa8,5.406378,0.45271206,1.8186706,0.610319,0.0,0.0,0.0,0.0,5.4107046,0.52408695,1.8175079,0.67930603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846154,5,0.1541506798272583,10.817082,0
7aad025e-4082-4956-9e52-69af07bc6fa8,3.5065057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5711493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0153797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615385,6,0.13353139262452263,10.093035,1
7aad025e-4082-4956-9e52-69af07bc6fa8,3.1211064,1.9598004,0.0,1.9598004,0.0,0.0,0.0,0.0,2.7720833,1.6512468,0.0,1.6512468,0.89117825,0.48663318,0.0,0.48663318,2.700232,1.6355866,0.0,1.6355866,0.0,0.0,0.0,0.0,0.15384616,7,0.11778303565638346,9.4846,2
7aad025e-4082-4956-9e52-69af07bc6fa8,3.046461,2.0432181,0.0,2.0432181,0.0,0.0,0.0,0.0,2.714815,1.7814801,0.0,1.7814801,0.9092084,0.50466335,0.0,0.50466335,2.6746318,1.7658199,0.0,1.7658199,0.0,0.0,0.0,0.0,0.15384616,8,0.1053605156578263,9.345117,0
7aad025e-4082-4956-9e52-69af07bc6fa8,3.2851055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1885886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.835298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384616,9,0.09531017980432487,9.308992,0
